Gene	GSE59071 p (Corr)  [UC]vs [Not IBD]	GSE59071 LOG2FC ([UC] vs [Not IBD]) 	GSE59071 [UC] vs [Not IBD] 
PDIA3	6.85E-11	0.763427658633582	Up
CPVL	4.41E-05	0.763494704493971	Up
RBMS1	2.20E-06	0.763965705400939	Up
GPCPD1	5.71E-07	0.764352641308568	Up
HRH2	0.000120274073377	0.765019038957472	Up
C1QA	0.000340113824249	0.766267859555671	Up
CDC20	4.59E-05	0.766367469162905	Up
ALCAM	2.40E-09	0.767136778467442	Up
WDFY4	3.09E-05	0.767929182468166	Up
FOLH1	0.022484791398693	0.768493993139413	Up
PDIA3	2.39E-11	0.769589275546629	Up
BTLA	0.000588725387875	0.769644399626197	Up
CLDN2	2.12E-09	0.770598625979114	Up
NCALD	3.21E-10	0.770678001450952	Up
HECW2	4.99E-05	0.7709572152903	Up
TWSG1	1.39E-06	0.771561819570955	Up
GPR155	9.11E-06	0.772001047251398	Up
SRGAP2	9.39E-08	0.772110096190397	Up
TRIM16	8.74E-07	0.772166910056173	Up
SPAG4	1.30E-06	0.772223595030537	Up
TIE1	9.96E-07	0.772692215065708	Up
FPR3	0.015254599293832	0.772952099156808	Up
GGT5	5.44E-06	0.773005887481256	Up
C1QB	0.00694588101805	0.773055798908731	Up
PTGS1	0.005517469571442	0.773694518270181	Up
ICAM3	2.52E-05	0.775208233358383	Up
EHD2	1.89E-06	0.77593810013396	Up
CMTM3	5.43E-06	0.77620137359712	Up
HS3ST3B1	0.000413836792805	0.776333832472233	Up
CCR2	0.00031374259109	0.776386338441704	Up
SLFN13	7.39E-09	0.776932339192374	Up
OLR1	0.010637034664698	0.777244537531439	Up
TYMP	3.94E-10	0.777630190988708	Up
GRAMD2	0.000105325759837	0.778839420343371	Up
SRM	5.65E-08	0.7790784193725	Up
CCR4	3.62E-06	0.779412339384651	Up
FAM57A	4.73E-07	0.77947192512249	Up
RCN1	2.56E-10	0.779942294959637	Up
TSPAN5	4.60E-07	0.780194842019216	Up
DENND3	7.71E-07	0.780409577939487	Up
ARHGAP30	8.25E-07	0.780926816192877	Up
CLEC14A	3.81E-07	0.781478627337234	Up
TGFB3	0.000923575577866	0.782928511863053	Up
IQSEC1	6.82E-07	0.7829796312224	Up
GZMB	1.23E-07	0.783353064436403	Up
PRAF2	1.86E-08	0.784595471056025	Up
HYOU1	3.16E-12	0.784600604212601	Up
JAM3	3.67E-05	0.784825760194136	Up
E2F5	1.34E-06	0.785411249125793	Up
HSPA4L	0.001389377872506	0.785549773616902	Up
CDH6	0.000110671039796	0.786067719560206	Up
RAMP2	1.58E-06	0.786378839476555	Up
SPHK1	2.42E-05	0.786773365503758	Up
GJC1	3.50E-05	0.787690059583607	Up
SLC39A6	2.27E-07	0.788062385265544	Up
DUSP1	0.004094324421544	0.788241701141439	Up
PHGDH	0.000207277590588	0.789359104607877	Up
SIRPB1	0.000407633167717	0.789532454820384	Up
ZHX2	4.16E-11	0.78987720204317	Up
CLDN12	2.48E-05	0.789970895195202	Up
RNASE6	9.14E-05	0.79043141516128	Up
TMEM165	1.08E-15	0.791172416134525	Up
CTNNAL1	2.69E-09	0.791955474550959	Up
TPST1	0.000233374449961	0.792413465607387	Up
QSOX1	4.08E-07	0.793466823425042	Up
TLR8	0.002274571385035	0.793827261940366	Up
RDX	0.001782943855262	0.794377805330653	Up
TRIM16	2.21E-07	0.794648733543321	Up
TRAF1	3.06E-05	0.794699284149864	Up
TGFBR2	5.62E-09	0.794958677653051	Up
COTL1	6.07E-12	0.795128550177258	Up
ACP5	2.17E-05	0.795588291706923	Up
GM2A	3.99E-07	0.797790654202046	Up
TYROBP	0.000207036212373	0.798195405964766	Up
CADM1	8.92E-07	0.798258243999255	Up
PRDX4	1.84E-11	0.798359978720597	Up
F5	0.000134560007461	0.799442013230379	Up
AEBP1	7.09E-05	0.80065272190329	Up
EGR3	4.18E-05	0.801322578862242	Up
ARHGAP9	1.58E-06	0.801537046342092	Up
PDK1	2.13E-05	0.802546059950336	Up
CARD16	7.94E-08	0.803683885723193	Up
FAT4	0.000323261467872	0.803948658833836	Up
FGD5	3.77E-08	0.804037197422468	Up
MYO1G	0.000133306858027	0.804385006184918	Up
MYCBP2	1.21E-08	0.804519813657113	Up
CD3D	9.41E-06	0.804951987551053	Up
CSRNP1	1.92E-06	0.806834366477318	Up
ATP2B4	7.89E-06	0.806918392129436	Up
TIMP3	8.62E-05	0.80736530062739	Up
CYB5R2	2.21E-09	0.808267232565072	Up
SPG20	4.17E-05	0.808905569625159	Up
GIMAP8	1.82E-09	0.808911226116608	Up
CD4	0.002982424632918	0.80952049664523	Up
ADA	1.86E-08	0.810450856046896	Up
CD72	0.000638877374052	0.810887798009991	Up
KIAA0040	9.52E-06	0.811106617749481	Up
APCDD1	0.000164900279279	0.811203514965881	Up
TNFRSF10B	7.78E-09	0.811482568245728	Up
CHRDL2	2.14E-05	0.811765073336773	Up
ZDBF2	8.22E-07	0.811981188954166	Up
UBE2S	6.12E-12	0.813278124809473	Up
PIP4K2A	8.11E-07	0.813928382192236	Up
CD3G	0.00092858177289	0.814675598198258	Up
FRY	1.92E-07	0.81488756461694	Up
MRC2	9.61E-07	0.816028723423035	Up
CMKLR1	0.000772234899365	0.816946337025873	Up
LDHB	3.92E-08	0.817011792197864	Up
CCR6	9.08E-07	0.817719240450773	Up
PARVG	1.41E-05	0.818678041122836	Up
PLXNA1	1.10E-12	0.818731022677456	Up
SLC12A4	3.55E-10	0.818898062482142	Up
CD5	2.25E-07	0.819581244158406	Up
SAMHD1	0.000172446023462	0.820754229272913	Up
ARHGAP31	7.97E-06	0.821815770966735	Up
RAB23	2.34E-07	0.821891705682135	Up
ITGAM	0.000726013521069	0.822331416709566	Up
LTBP2	1.17E-05	0.82237647876434	Up
TRIB1	2.95E-08	0.823317841748572	Up
MIF	6.01E-13	0.825679983976169	Up
NFKBIA	3.83E-06	0.826127443068312	Up
SEC11C	1.99E-09	0.826534754954567	Up
TK1	1.07E-07	0.82712325344473	Up
CD48	0.007070671888009	0.827498252021915	Up
ADAMTS5	2.19E-06	0.829038444378866	Up
FAM65A	7.53E-07	0.829320147246471	Up
NLRP3	0.000992334560074	0.829479342132079	Up
CCL22	2.66E-06	0.829788560713458	Up
AQP3	4.54E-13	0.830414063997021	Up
LYPD6B	8.71E-06	0.830782565151921	Up
DEGS1	2.92E-07	0.831175646500397	Up
PMEPA1	3.83E-09	0.831294958400203	Up
GLRX	2.60E-08	0.831514581729241	Up
DOC2B	3.88E-08	0.832398472589293	Up
IFI35	1.52E-10	0.832895728403004	Up
LDLR	3.66E-07	0.833088084039426	Up
TFAP2C	1.68E-06	0.833127522182124	Up
PDIA5	8.49E-16	0.83318185483165	Up
BATF2	1.43E-06	0.833309585150952	Up
TUSC3	0.000954829022777	0.834224956464886	Up
LAMB2	6.59E-08	0.834266101386306	Up
MPDZ	8.53E-05	0.834402626922248	Up
DOCK4	8.27E-08	0.835309126016986	Up
GPR84	0.000928734550657	0.835615385613191	Up
PTPRCAP	1.10E-05	0.835710265480401	Up
SKIL	2.07E-08	0.836130014351628	Up
DPY19L1	3.08E-09	0.83682820298621	Up
TESC	2.52E-09	0.837211758713801	Up
CD200	1.42E-05	0.838263514984115	Up
TMEM204	8.46E-08	0.838573737805323	Up
SPATS2	5.61E-10	0.839124323821405	Up
PLAT	0.001334812183844	0.840240071243121	Up
MOXD1	3.58E-05	0.840354738514373	Up
AMICA1	0.000346311820969	0.840524513598762	Up
COL6A2	2.52E-06	0.840867280009411	Up
CCDC80	0.011505408415848	0.841602900506354	Up
LDLRAD3	1.52E-07	0.841755667363751	Up
IFNG	0.000768412019021	0.84201244477208	Up
RNF24	1.40E-08	0.842055773442026	Up
AP1S3	1.44E-06	0.844685530702901	Up
SBNO2	5.06E-12	0.844812719876826	Up
LRRC32	5.14E-08	0.844907012505002	Up
NQO2	6.19E-07	0.844992784315465	Up
CBFB	9.61E-15	0.845125833682467	Up
TMEM184B	4.89E-18	0.848466815894035	Up
SPI1	2.15E-07	0.849237915409295	Up
IL21R	3.24E-09	0.849596457970766	Up
TMEM106A	1.15E-11	0.850707235848891	Up
IL6ST	3.12E-09	0.851465195776688	Up
CALD1	0.002138854921351	0.852583085168757	Up
PTGES	5.66E-05	0.852822212268123	Up
LAMC2	0.002512713158755	0.852849669267691	Up
SH3BP5	1.75E-07	0.85287537081483	Up
NRCAM	0.003439292213515	0.853008199698178	Up
MAP4K1	5.56E-07	0.853333960213693	Up
NRP2	2.98E-05	0.853866003849372	Up
HM13	1.18E-16	0.854950218502809	Up
CEBPD	2.28E-15	0.855487842121732	Up
CD84	9.65E-06	0.855616398742832	Up
ZEB1	6.86E-05	0.855884092010809	Up
FIBIN	0.000550284307402	0.857432067543274	Up
SPOCK2	2.17E-07	0.857501408626893	Up
MYCT1	1.76E-05	0.859222500560649	Up
FGR	3.88E-06	0.861560210875091	Up
OTUB2	3.33E-10	0.861594299339834	Up
GDF15	0.004376664256418	0.86215707636919	Up
TRAF3IP3	4.46E-05	0.862603298604025	Up
PMAIP1	1.57E-05	0.863301244105568	Up
FBLN5	4.75E-05	0.863982191174483	Up
CHPF	2.41E-19	0.864409530464668	Up
ZNF215	1.16E-05	0.864529961805916	Up
SRGAP2	4.02E-09	0.864852595039869	Up
HCK	0.000582642885991	0.865164344520405	Up
PLTP	0.00173701695374	0.866260163843934	Up
ADAMTS2	0.000157743488302	0.867333912052742	Up
FAM72B	8.09E-06	0.867348955049262	Up
PLOD1	1.45E-12	0.867571279287894	Up
IL3RA	6.10E-06	0.868232606298441	Up
IL3RA	6.10E-06	0.868232606298441	Up
CASP10	3.22E-07	0.868333326567195	Up
CCR2	9.13E-05	0.8687161841062	Up
EGFL6	0.00045397798349	0.868824137406257	Up
KCNE3	2.69E-06	0.869356325478754	Up
HLA-DQB2	5.54E-10	0.869620556903179	Up
SLC25A37	9.50E-07	0.8696928033074	Up
NRP2	0.000234396926251	0.870547715478667	Up
STAT4	6.91E-07	0.870783341773492	Up
CDC6	6.59E-06	0.871625022173231	Up
PPP1R18	5.52E-07	0.872331436056493	Up
CD2	2.97E-07	0.872783209455086	Up
GYPC	9.08E-07	0.873202339755514	Up
TMC5	0.002303999844286	0.874121878887349	Up
RPL32	2.07E-05	0.87424884783815	Up
TIMP2	2.67E-05	0.875331766425937	Up
NAP1L1	2.77E-07	0.875870315446676	Up
ISLR	0.000348000788434	0.876373205970792	Up
UBE2L6	2.19E-16	0.876469619994269	Up
HSPG2	5.12E-08	0.876735563035302	Up
NUP210	2.86E-08	0.877038147547391	Up
CPXM1	9.58E-06	0.877116121874635	Up
CRELD2	5.04E-16	0.877677347852533	Up
FEZ1	1.45E-11	0.878360533492087	Up
KIT	0.000335928279602	0.8784790399964	Up
TLR1	0.00184417635049	0.878523106685356	Up
BUB1	2.79E-05	0.878700652695948	Up
RNF122	1.19E-09	0.879798600623666	Up
CD52	0.001513980211576	0.880329253623493	Up
CLEC4A	0.000285537169893	0.881360139913899	Up
CLEC7A	6.32E-05	0.881920242301564	Up
OSBPL8	8.88E-09	0.884477135903349	Up
GRB10	1.97E-09	0.884624404493689	Up
RGS4	7.28E-05	0.884770693319942	Up
PLEKHG2	2.38E-09	0.885023297327583	Up
KCNN3	1.15E-08	0.886373723672867	Up
CLEC2D	8.11E-05	0.88661043703647	Up
ADAM12	0.000433032514633	0.88769177324981	Up
FBXW7	1.51E-08	0.887818789587072	Up
CPEB4	6.57E-09	0.888100175010498	Up
SLC16A6	0.002132370330056	0.888554730425364	Up
LMAN1	1.22E-10	0.889447417695671	Up
CREB5	9.08E-05	0.890749538861698	Up
TMEM106A	8.60E-12	0.891975733761736	Up
SMARCA1	1.23E-07	0.892098326531619	Up
ZFPM2	2.19E-09	0.892568975314794	Up
GPR132	9.05E-05	0.892590362160985	Up
GIMAP7	5.13E-07	0.892764042788174	Up
TNFRSF1B	1.12E-06	0.893007881084591	Up
NID2	5.13E-05	0.894977265975207	Up
SORD	4.61E-07	0.894991881392352	Up
MFNG	1.93E-09	0.895010899033727	Up
KRT6B	0.001272240489482	0.895453975371033	Up
SSR1	1.41E-13	0.89565915488825	Up
APOL3	1.46E-09	0.895711655261871	Up
SLCO3A1	1.67E-06	0.895765649270505	Up
PGM2L1	6.32E-13	0.89644853189052	Up
LSAMP	2.50E-07	0.897098833543786	Up
DPYSL3	8.33E-05	0.897246642021964	Up
MCFD2	1.07E-14	0.897701943912693	Up
CP	0.014962242984125	0.898394185355269	Up
GJA5	4.39E-07	0.898476149390024	Up
CH25H	1.93E-05	0.898777550286684	Up
ASS1	1.22E-05	0.899102203083123	Up
BAG3	3.54E-19	0.899109476792974	Up
NRN1	1.44E-07	0.899136940612741	Up
SGMS1	1.02E-11	0.899824508591797	Up
TRERF1	4.07E-11	0.901441568768382	Up
FAIM2	1.50E-10	0.901534833015567	Up
MAP4K4	3.18E-08	0.903102293731676	Up
FLNA	0.000829232508185	0.903380669232916	Up
ITK	6.40E-06	0.904591804012837	Up
SLC7A7	8.62E-05	0.904673259093207	Up
SELM	1.08E-07	0.90514856921609	Up
KPNA2	1.18E-07	0.906348787876684	Up
IL18R1	4.27E-07	0.906417926592477	Up
RECQL	1.95E-09	0.906537761870995	Up
CMTM7	3.23E-10	0.906775736326837	Up
GRINA	1.50E-16	0.908206884028232	Up
SERPINB8	5.78E-08	0.908377694752447	Up
THBD	4.41E-08	0.908672403546324	Up
CLSTN3	1.23E-11	0.908749693812088	Up
KPNA2	1.59E-07	0.908846621925065	Up
CARD11	2.22E-10	0.909391508601713	Up
MYO5A	1.38E-05	0.909794793268824	Up
ADAM9	9.67E-11	0.910755188811988	Up
STAT2	4.31E-11	0.911055838847948	Up
HLA-DQB1	0.041018594059928	0.911179894359614	Up
LTF	0.001238629963392	0.912832472884778	Up
SESTD1	4.21E-12	0.91312408703916	Up
BASP1	4.31E-06	0.913825723366754	Up
AHR	3.31E-11	0.918767205124887	Up
ANLN	1.27E-06	0.92009106816969	Up
BTN3A1	4.95E-13	0.920349448378866	Up
MFSD2A	2.65E-06	0.921438798885093	Up
TSPAN11	3.16E-07	0.924524954065654	Up
PGM3	9.69E-13	0.924871700184352	Up
GBP2	3.11E-05	0.925426993747792	Up
MYBL2	1.01E-08	0.925781645878751	Up
KRT7	1.11E-06	0.926091783592426	Up
CEP55	1.28E-06	0.926285287454875	Up
CCL3	0.000105339238941	0.92655717182156	Up
CCL3	0.000105339238941	0.92655717182156	Up
CCL3	0.000105339238941	0.92655717182156	Up
AHNAK2	0.00010298048911	0.928484688460565	Up
PLAUR	1.72E-05	0.928538801711378	Up
HIP1	3.79E-08	0.928556072793966	Up
ECT2	8.03E-09	0.928731366407287	Up
SLC15A3	2.00E-10	0.928744051722663	Up
MX1	2.02E-06	0.928788571952523	Up
ADAMTS4	5.13E-05	0.928954437378397	Up
ANXA3	7.63E-07	0.929301293320233	Up
GNAI2	1.19E-07	0.930418813800625	Up
NFKB2	4.91E-09	0.930756042166924	Up
SLC1A4	1.46E-08	0.931462120009963	Up
SLC7A1	2.97E-12	0.931679216225897	Up
TNFAIP8	1.38E-08	0.931717864585067	Up
VSNL1	0.000972829029566	0.931727748738959	Up
SEMA4A	3.41E-07	0.932214855078671	Up
NRP1	1.07E-05	0.932947288490864	Up
ODC1	1.77E-05	0.934752053294613	Up
TSHZ2	8.32E-06	0.935910412324604	Up
MMP19	3.83E-06	0.93610893918514	Up
XDH	0.006748087080717	0.936236039806159	Up
FILIP1L	5.58E-07	0.936752095356041	Up
DPYD	4.08E-08	0.938131087120717	Up
CLEC1A	2.77E-09	0.93859049932786	Up
RHOQ	6.21E-06	0.939042727313254	Up
TGFB2	3.32E-05	0.940029361282554	Up
ITGA8	3.57E-05	0.940285383992418	Up
LRRC8C	2.43E-09	0.940934553232625	Up
SGIP1	6.87E-07	0.940979403400123	Up
PRKCH	1.40E-06	0.941347506291442	Up
ITGA4	4.95E-05	0.941413558304422	Up
WWTR1	2.43E-05	0.9414854177306	Up
PDP1	6.70E-08	0.946532542412564	Up
NABP1	4.45E-05	0.946602557557554	Up
ANTXR1	0.001565663140007	0.94703176148532	Up
CARD8	1.72E-09	0.947399006847625	Up
ZYX	1.22E-10	0.94770897850125	Up
GPR137B	5.63E-08	0.947834893033712	Up
FYB	0.000845722822457	0.949023612117267	Up
PSME2	2.33E-16	0.95091874920751	Up
TLR2	0.000408051679838	0.953070482046743	Up
ABCC1	5.95E-16	0.954279751710592	Up
SETD7	5.80E-13	0.954773273955046	Up
P2RX5	5.21E-05	0.954778589545439	Up
XKR9	5.46E-07	0.955523696232917	Up
TSPAN18	1.86E-08	0.955855610325676	Up
PML	2.83E-15	0.957694541874875	Up
TSTA3	6.46E-09	0.95839090013447	Up
TUBA1A	1.38E-07	0.958409128617644	Up
TIFA	3.77E-07	0.95940487094595	Up
FAM20C	4.49E-07	0.960417553718555	Up
TNFRSF12A	1.27E-07	0.960808411069577	Up
EDNRB	0.000388573954818	0.961700110633405	Up
CD81	2.93E-10	0.961704923770323	Up
SLC25A37	6.93E-08	0.963074779725895	Up
ST3GAL4	2.97E-05	0.963368522326421	Up
ADRBK2	1.34E-07	0.963660145945486	Up
ARHGEF3	7.60E-16	0.963972985047262	Up
ZFP36	1.26E-06	0.963999225333096	Up
PANX1	6.19E-10	0.965205926112917	Up
PCDH18	0.000331557753765	0.965408447200893	Up
CD28	7.06E-06	0.96568412652526	Up
IRF1	3.33E-08	0.967130462295856	Up
MASP1	1.16E-05	0.967475950879914	Up
ANKRD44	1.95E-05	0.968211568566627	Up
UCP2	8.84E-06	0.968386665438246	Up
SLPI	0.000270124486335	0.968526497465914	Up
PLCB1	4.54E-07	0.968937681803337	Up
COL14A1	0.000625732340142	0.969087572596713	Up
SHCBP1	9.68E-10	0.970153140237236	Up
CXorf36	7.82E-09	0.970463887010158	Up
TSC22D3	8.32E-06	0.971151309159315	Up
DNAJC10	3.73E-10	0.971974945807409	Up
TCL1A	0.005969484602639	0.973316899616735	Up
PAM	3.65E-11	0.973377962865298	Up
EML1	3.23E-06	0.977355832215728	Up
SFMBT2	7.13E-08	0.979069923687534	Up
CD226	9.58E-08	0.979790590051604	Up
EVI2A	0.000263667242492	0.979831104829428	Up
DUSP7	4.31E-13	0.980044321378982	Up
SEC22C	5.09E-13	0.981246818669349	Up
STX2	1.34E-08	0.981611422960184	Up
CXCR5	0.001349849942528	0.981898348880952	Up
ACKR1	5.41E-08	0.98210503423133	Up
FAM126A	0.000334710023766	0.983581843462162	Up
PKM	6.42E-23	0.984145660106822	Up
LBH	5.57E-09	0.984235074072427	Up
HIVEP2	5.14E-11	0.984314082133587	Up
ATP11A	5.76E-11	0.984336708003045	Up
LYVE1	0.010893080715159	0.98465458706101	Up
BAG2	1.45E-08	0.984776058701657	Up
HLA-DQA1	0.003262453330883	0.985885627799544	Up
RTEL1-TNFRSF6B	4.71E-18	0.987940475664934	Up
PTAFR	1.52E-08	0.988184727148336	Up
RARRES3	7.34E-08	0.991404269855535	Up
ZG16B	4.72E-05	0.991628393469494	Up
C3AR1	0.002445583749663	0.991701336207885	Up
CST7	1.38E-05	0.991836493818609	Up
IRS1	5.63E-10	0.992226794835994	Up
MTHFD2	3.53E-13	0.992702133353288	Up
IRAK2	3.48E-07	0.994032144303739	Up
TMEM173	4.18E-13	0.994516560091872	Up
OAS3	5.07E-10	0.994572787647187	Up
BTN3A3	2.33E-16	0.997357945123259	Up
CD163	0.000274363603686	0.999673392056178	Up
PRPS1	7.98E-08	1.00044465312915	Up
CCL11	0.000162151290062	1.00128163002575	Up
SPON2	6.30E-08	1.00149258778879	Up
EHD3	2.39E-08	1.00158825870536	Up
RASGRF2	1.81E-08	1.00208664758499	Up
KIAA0922	8.25E-05	1.00212608247914	Up
SMAP2	1.61E-07	1.00273989393019	Up
CPA3	0.015676039466892	1.00416316198457	Up
FAM20A	1.56E-05	1.00472845676848	Up
SRGAP2	3.14E-09	1.00480653735848	Up
NT5DC2	7.01E-10	1.00572600328135	Up
GNB4	4.29E-06	1.00895444357086	Up
TMEM55A	7.79E-08	1.00959669262555	Up
AKR1B1	0.001565663140007	1.01179801718169	Up
GBP1	5.21E-07	1.01255781980043	Up
FCRL3	0.001696887625524	1.01330711869262	Up
SLC9B2	2.15E-05	1.01365939417616	Up
ATP8B2	9.54E-09	1.01443910709346	Up
PDIA4	9.32E-19	1.01445224321323	Up
TMEM163	9.24E-07	1.01472188075803	Up
CSF2RA	3.41E-07	1.01485545159862	Up
CSF2RA	3.41E-07	1.01485545159862	Up
TNFSF13B	2.21E-06	1.01557359118797	Up
CRIP2	1.11E-08	1.01890051328535	Up
ERRFI1	1.24E-05	1.02037397583155	Up
FMNL3	2.33E-08	1.02124128223502	Up
GMPR	3.79E-09	1.02571875891048	Up
RILPL2	5.35E-11	1.02578988459327	Up
APOL2	4.45E-12	1.02617019933527	Up
RPS6KA2	1.28E-17	1.02657200511759	Up
IKBIP	5.32E-11	1.02810707303922	Up
PLXND1	2.90E-10	1.02844061226326	Up
FAM171B	6.03E-05	1.02901949840771	Up
CHAC1	9.20E-08	1.02995450992384	Up
WISP1	5.58E-07	1.03047997824067	Up
ZNF385D	2.17E-06	1.03452697753608	Up
SLC17A9	6.35E-16	1.03539400756856	Up
SACS	1.11E-07	1.0369822727654	Up
BIN2	3.31E-06	1.03927470839554	Up
NR4A1	0.000308320448029	1.04330381716974	Up
SLAMF8	7.65E-06	1.04436184992062	Up
NR4A3	9.58E-05	1.04527676419784	Up
NAMPT	6.02E-08	1.04597852426141	Up
HSPA13	1.10E-07	1.04718156708537	Up
PTRF	7.35E-08	1.04720425386353	Up
PLA1A	2.82E-08	1.04779715616548	Up
ZNF532	3.04E-09	1.05003268284241	Up
DNAJB9	4.14E-10	1.0537985551985	Up
GNG11	2.88E-05	1.05458790232598	Up
CD40	5.02E-12	1.05802599527579	Up
ABCC9	2.69E-05	1.05919939809327	Up
MTHFD2	6.14E-13	1.05991694793425	Up
FAM129A	7.89E-05	1.06071939681156	Up
ART3	1.14E-08	1.06131964007533	Up
PLK3	4.86E-08	1.06209372848145	Up
TAP2	6.28E-17	1.06360168201581	Up
THBS2	0.002916723608992	1.06479682651044	Up
MYO1F	8.74E-07	1.06783695439306	Up
PACS1	1.25E-14	1.0681182128533	Up
TLR10	0.001060392611052	1.06836784188524	Up
ST3GAL2	3.69E-10	1.06854923229781	Up
PRKCB	9.78E-06	1.06904357453092	Up
WDFY4	4.86E-06	1.06975022889879	Up
CCL3	1.72E-05	1.07010916139664	Up
QKI	9.74E-07	1.07095867109275	Up
TSPAN11	7.95E-06	1.07141543848633	Up
DUSP6	3.21E-15	1.07170314952368	Up
GPRC5B	1.89E-08	1.07192716788263	Up
BICC1	0.000241440679793	1.07233549777623	Up
PEA15	1.17E-09	1.07252173623749	Up
LILRA1	6.76E-06	1.07345559162569	Up
ATM	5.87E-08	1.07381486466706	Up
PRKCDBP	7.15E-08	1.07482935525181	Up
ARHGEF6	1.18E-06	1.07540139104425	Up
IL1RAP	1.57E-07	1.07577951779849	Up
JAK2	4.42E-16	1.07930548495255	Up
PXDC1	1.22E-10	1.07951310380339	Up
ASRGL1	2.78E-10	1.08044671031462	Up
FBXO16	9.74E-11	1.08258965713997	Up
LILRB1	1.31E-07	1.08301570921282	Up
DDR2	6.99E-05	1.08443546993252	Up
IER3	2.09E-07	1.08596854241781	Up
IER3	2.09E-07	1.08596854241781	Up
SOCS1	6.87E-12	1.08609582098868	Up
PAPPA	5.49E-06	1.08662710791204	Up
DDR2	0.000221024859272	1.08662750962801	Up
SRD5A3	7.19E-06	1.08838179202999	Up
JUNB	3.33E-10	1.08846648943061	Up
SIK1	7.02E-05	1.0888498656556	Up
S1PR1	7.36E-09	1.08958016799519	Up
CTGF	1.14E-06	1.08977569482479	Up
EMCN	0.000164869237605	1.08994173074928	Up
GPR65	3.78E-05	1.09079209229493	Up
KIRREL	9.78E-09	1.09080848461364	Up
P2RY13	0.001157841376191	1.09228375463348	Up
GBP2	7.27E-10	1.09265228229783	Up
PCDH17	1.10E-07	1.09299050934847	Up
CTSE	0.001296756997043	1.09386211761334	Up
MYEOV	2.05E-07	1.09406003518155	Up
TNS4	0.000259577523682	1.09478260348159	Up
SPCS3	7.32E-15	1.0968647270134	Up
IER3	2.18E-07	1.09690145736067	Up
SLC5A1	0.000297898553918	1.09908974521872	Up
SH3PXD2B	1.68E-10	1.09951665418442	Up
P2RY10	0.000270119819748	1.09981847926158	Up
CSGALNACT1	2.36E-06	1.09986822707248	Up
CEP128	1.96E-08	1.10014204857189	Up
ARID5A	1.89E-11	1.10052871590774	Up
LPGAT1	1.85E-13	1.10205101227849	Up
LGALS1	3.31E-08	1.1031301196184	Up
FMNL1	1.30E-08	1.10388787621948	Up
COL6A1	2.74E-06	1.10581904863169	Up
ITGAL	5.48E-07	1.10891870954897	Up
ERG	1.23E-08	1.10918742505775	Up
CLMP	5.80E-06	1.1101133776503	Up
TRPA1	0.000141494866706	1.11155295574012	Up
NAMPT	1.57E-08	1.11211529167707	Up
CLIC2	1.07E-05	1.11353266318534	Up
CCR7	0.000283222003351	1.11357823271518	Up
PLCG2	3.94E-06	1.11369445672313	Up
AGT	5.71E-07	1.11476071052347	Up
PDGFRA	9.89E-06	1.11494765444708	Up
SLC38A5	1.96E-12	1.11570461068795	Up
LY6E	6.80E-09	1.11610056343057	Up
EAF2	1.06E-07	1.1180642741137	Up
EIF5A2	7.02E-16	1.11908228357475	Up
PLXNC1	3.26E-05	1.11961361408224	Up
PARP14	4.11E-13	1.1200892499045	Up
TAP2	2.25E-17	1.12066950279464	Up
TAP2	3.93E-18	1.12161579890691	Up
FOSB	0.001974676916174	1.12388766760714	Up
PALMD	3.75E-08	1.12391971215223	Up
TNFSF8	3.05E-07	1.12407714676545	Up
OSBPL3	7.78E-15	1.1246607856855	Up
TMEM92	7.53E-14	1.12511414812175	Up
IL18RAP	0.000455025226542	1.1261526418302	Up
ENC1	1.13E-16	1.12625120183693	Up
RFTN1	9.78E-09	1.12679946961225	Up
APBB1IP	1.13E-05	1.12684319772261	Up
SCIMP	0.000198067584642	1.12795758745821	Up
SLC16A14	1.40E-06	1.12956357400982	Up
LDB2	5.93E-10	1.12963905097632	Up
SLC41A1	9.16E-13	1.1313015371838	Up
C5AR1	4.72E-06	1.13148953576761	Up
CTLA4	5.34E-10	1.13166861457051	Up
ACPP	1.31E-06	1.13207400386302	Up
CNN2	4.28E-22	1.13222961344529	Up
KMO	4.10E-06	1.13516054082253	Up
TTYH3	3.02E-20	1.13612823761824	Up
RAB8B	6.53E-09	1.13777532439568	Up
IFIT3	2.28E-07	1.14019261860442	Up
NUCB2	5.30E-12	1.14255738801352	Up
EMB	1.96E-06	1.1471148639294	Up
CD109	1.62E-05	1.14741559146617	Up
MEDAG	3.30E-05	1.15156620184121	Up
CYBB	0.000133787156879	1.15258286825899	Up
IFNAR2	2.72E-10	1.15279525060521	Up
CAV2	4.48E-07	1.15320931149824	Up
AAED1	4.20E-08	1.15356164861908	Up
FGF2	4.25E-06	1.1538760666518	Up
TSHZ2	9.26E-09	1.15474202658134	Up
MFGE8	2.23E-07	1.15743911747482	Up
MGAM	0.003919370570818	1.15852096119985	Up
GFPT2	0.000281092836505	1.15865757907699	Up
CEBPB	4.77E-10	1.1587412383221	Up
UNC5CL	1.14E-09	1.15981732270794	Up
TM4SF1	4.29E-06	1.160849574094	Up
PTP4A3	4.22E-06	1.16134004413038	Up
LPIN1	4.03E-17	1.16224839659692	Up
PLEKHS1	8.25E-06	1.16241989467723	Up
BTG2	4.56E-07	1.16447524396267	Up
ACSL1	0.000657309015129	1.16583117857559	Up
SLC9A7	1.48E-12	1.1674095407425	Up
