Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
FFAR2	8.77E-23	5.7026877	up
IRF4	3.03E-29	5.758133	up
LUM	2.71E-22	2.9899566	up
F2RL2	4.49E-32	10.225209	up
FADS1	1.54E-22	3.7130072	up
EVI2B	1.01E-24	2.7418957	up
ENG	6.80E-28	3.448124	up
RHOH	1.26E-11	2.4431818	up
MME	1.72E-15	3.139087	up
PRRX1	3.85E-18	4.9748826	up
HLA-DRB5	7.24E-04	1.9670691	up
CD74	6.87E-25	2.5253603	up
IL33	1.26E-12	2.3700712	up
RAB31	2.13E-25	2.679797	up
THY1	3.60E-31	5.040007	up
FPR1	1.55E-34	24.834381	up
GZMK	3.55E-06	2.2369795	up
CD53	6.31E-22	3.1045895	up
LYZ	3.96E-12	2.1310406	up
MZB1	<5.34E-43	8.371471	up
KDR	5.33E-17	3.770371	up
SLFN5	4.06E-13	2.6696997	up
TRIM29	3.03E-19	3.7059193	up
ELOVL5	2.61E-25	2.9459584	up
LOXL2	1.14E-28	6.4703374	up
SERPINB9	1.38E-19	3.0654893	up
VCAN	7.57E-25	4.250781	up
MSN	1.64E-18	2.529534	up
CYTIP	1.91E-16	2.391437	up
PXDN	3.34E-20	4.207166	up
RBPMS	5.34E-43	4.268867	up
CYR61	1.08E-16	7.1861553	up
HEG1	2.52E-12	2.8838637	up
ANGPTL2	4.56E-25	5.2513013	up
COL4A1	1.49E-22	7.1644483	up
SPARC	1.07E-22	3.554566	up
PITPNC1	1.08E-28	2.8409617	up
TGFBI	9.45E-30	3.7001977	up
ITGAX	<5.34E-43	11.737916	up
HLA-DMA	1.14E-31	2.7322655	up
SPARCL1	3.46E-08	1.7642728	up
FDCSP	4.28E-04	3.2690952	up
CDH5	1.45E-18	3.3445268	up
CD93	4.10E-15	2.900105	up
STRIP2	9.62E-29	9.162379	up
SLFN11	7.73E-28	4.050362	up
FBN1	1.74E-28	4.7979126	up
VCAM1	1.41E-15	2.659575	up
KLHL5	5.66E-25	3.1885014	up
SERPING1	3.07E-29	3.4655628	up
GNA15	7.42E-26	3.9122725	up
ALPL	3.89E-29	10.957331	up
SLAMF7	2.44E-39	4.3073025	up
NCF2	1.15E-30	4.7137628	up
ENTPD1	3.63E-22	2.8655639	up
IFI16	1.59E-25	2.3733037	up
CD38	6.37E-39	6.2166104	up
HGF	3.18E-22	5.289307	up
IL13RA2	4.80E-23	20.604237	up
SLC7A5	5.01E-32	6.0051417	up
MS4A1	5.90E-06	3.6874323	up
C1S	2.13E-34	3.8203142	up
PTPRC	4.21E-14	2.8067782	up
NR4A2	1.86E-07	3.0484092	up
S100P	4.07E-05	1.6501644	up
PRDM1	3.38E-17	2.852838	up
ST3GAL1	2.36E-26	4.6375732	up
IL6	1.14E-21	23.764513	up
MMP2	7.20E-28	3.6790423	up
DRAM1	6.02E-32	3.070909	up
COL1A2	1.25E-27	4.4148746	up
ARNTL2	2.11E-19	3.4614677	up
GJA1	2.75E-16	2.8846657	up
CSF3R	6.95E-33	16.205746	up
C1R	9.99E-38	4.767275	up
TRIM22	1.04E-21	3.0141761	up
BIRC3	2.14E-17	2.7412825	up
TRIB2	2.63E-32	5.079458	up
ACKR4	1.27E-21	6.174465	up
PDZK1IP1	5.77E-19	3.818546	up
FPR2	1.89E-30	36.280483	up
COL1A1	1.96E-24	5.476924	up
S100A9	5.24E-31	34.83605	up
FSTL1	9.65E-20	3.2792246	up
TREM1	5.72E-40	67.56837	up
CTSK	4.57E-35	4.3472157	up
LPCAT1	1.11E-40	4.3268228	up
OAS2	9.30E-18	2.9702506	up
CR1	4.82E-17	5.0268717	up
EDNRA	5.18E-26	4.9493017	up
CD180	6.25E-17	2.9353273	up
FCRL5	<5.34E-43	10.1374	up
MGP	5.40E-25	3.4502053	up
C4A	2.91E-28	6.703438	up
HLA-DRA	8.81E-22	2.3189418	up
FADS2	1.92E-16	5.485747	up
KCND3	1.23E-37	9.329142	up
SRGN	2.29E-25	3.4623268	up
CALCRL	3.13E-09	2.1871212	up
WNT5A	7.13E-16	4.360268	up
ADAMTS9	3.24E-29	4.4482026	up
KLK10	8.29E-06	6.3790708	up
SLC2A3	2.80E-22	5.029584	up
STC1	5.72E-21	12.044159	up
TDO2	1.13E-31	10.018833	up
LAX1	7.84E-33	6.3213763	up
HCAR3	1.94E-33	101.650826	up
SERPINE1	1.15E-25	12.550194	up
CD55	1.50E-21	6.137816	up
C4BPB	1.99E-35	17.73509	up
VWF	9.19E-30	6.1235538	up
PHLDA1	2.14E-19	4.2061276	up
BGN	8.69E-38	8.732024	up
PFKFB3	1.10E-16	3.7999353	up
WARS	2.50E-20	3.8080451	up
FCGR2A	2.84E-19	4.060096	up
OLFM4	7.79E-28	18.653292	up
CCL20	4.66E-11	2.7380202	up
CD274	3.95E-23	7.1060185	up
GBP5	2.86E-30	6.437187	up
CD79A	8.27E-15	3.6211686	up
SPINK4	4.25E-12	5.920882	up
DSG3	2.79E-10	7.364875	up
CFI	3.79E-29	5.0871167	up
ACSL4	9.27E-15	2.9237843	up
CXCL13	5.34E-04	3.0598693	up
MMP10	6.75E-40	128.39058	up
DAPP1	7.17E-33	4.351688	up
CCL2	1.42E-25	5.2602353	up
ICAM1	3.10E-27	5.446446	up
SELL	7.97E-13	3.909683	up
CLDN1	4.62E-19	6.35608	up
UBD	9.54E-14	4.1047683	up
IL7R	2.43E-14	3.0218399	up
IL1A	5.51E-19	8.973681	up
PLAU	2.12E-30	9.485371	up
ITGA5	3.09E-28	4.978906	up
CXCL9	2.84E-24	11.372365	up
CFB	1.91E-37	7.2807765	up
RGS5	4.30E-24	5.112037	up
COL12A1	4.30E-15	4.2754197	up
GBP4	9.42E-27	5.0889306	up
SPP1	7.69E-14	5.696114	up
CCL18	3.40E-05	2.4724393	up
COL6A3	1.73E-27	7.2907186	up
CEMIP	3.00E-18	7.7674413	up
ANXA1	2.51E-20	5.431606	up
IRAK3	1.95E-24	4.0327687	up
SERPINB4	2.01E-20	106.81075	up
MMP9	5.07E-25	7.4179673	up
CXCR1	1.01E-42	114.08896	up
TNFAIP6	9.50E-15	5.747076	up
C3	7.98E-17	5.1034675	up
C2	1.09E-34	4.7127757	up
SLC7A11	9.64E-20	4.547126	up
PECAM1	5.57E-20	3.326705	up
FCGR3B	1.47E-40	99.86599	up
APOL1	1.00E-20	4.233177	up
IGFBP5	1.98E-20	5.5274267	up
SOCS3	2.68E-30	11.438243	up
TGM2	3.80E-25	6.41111	up
C4BPA	1.16E-23	22.62711	up
SELP	2.65E-26	5.641265	up
VNN2	7.74E-20	4.853103	up
PIM2	<5.34E-43	9.659679	up
CXCL2	7.17E-34	13.559481	up
MXRA5	6.73E-19	4.5428123	up
DMBT1	4.14E-19	21.151283	up
S100A12	1.85E-32	298.54736	up
SERPINB7	1.51E-25	226.1552	up
SELE	1.70E-20	17.052206	up
PLEK	3.35E-23	4.853088	up
SLCO1B3	4.23E-13	23.521307	up
SERPINA3	1.52E-16	8.435806	up
STEAP4	6.02E-20	6.4850354	up
OSMR	8.71E-27	5.4657164	up
CXCL10	8.18E-23	10.461774	up
TNC	3.23E-19	7.9615974	up
TIMP1	8.96E-31	5.407704	up
REG4	2.09E-13	4.799186	up
IL1RN	1.18E-19	7.106627	up
CXCL11	8.14E-19	12.818265	up
PI3	6.39E-41	19.920273	up
CDH3	1.79E-19	8.99953	up
MMP12	4.13E-28	13.605473	up
PTGS2	4.39E-18	8.502226	up
CXCL8	8.51E-27	25.777872	up
AQP9	1.38E-42	157.19334	up
SERPINB5	7.35E-11	5.0070796	up
LCN2	2.51E-39	11.907461	up
CXCL1	4.23E-39	19.399017	up
IL1B	1.30E-21	10.806789	up
TCN1	1.59E-32	85.42528	up
KYNU	5.70E-25	5.45036	up
REG3A	9.85E-17	146.67404	up
SERPINB3	1.08E-18	138.82481	up
ABCA12	2.90E-32	47.490616	up
REG1B	2.50E-16	158.56561	up
VSIG1	7.09E-26	29.064295	up
MMP7	2.80E-36	90.790344	up
VNN1	8.92E-20	7.4333153	up
CHI3L1	<5.34E-43	140.90503	up
MMP1	2.39E-30	34.55226	up
TNIP3	1.77E-34	69.03029	up
S100A8	1.34E-36	125.95164	up
IDO1	1.14E-24	15.828462	up
DUOX2	<5.34E-43	48.27296	up
DUOXA2	<5.34E-43	209.93863	up
REG1A	2.57E-28	564.2024	up
MMP3	1.18E-40	169.10017	up
SLC6A14	3.27E-37	37.155457	up
FSIP2	6.22E-05	1.5263671	up
SLC9A3	1.82E-05	2.2651887	up
SLC23A3	1.12E-05	1.5697482	up
RNPC3	1.04E-05	1.5097555	up
CCDC146	3.42E-07	1.6007731	up
CDK3	4.49E-08	1.7048872	up
HSPB2-C11orf52	1.96E-05	2.0957117	up
ABCA10	1.39E-06	1.7421622	up
MST1	7.53E-19	2.4929569	up
RSAD2	7.07E-04	1.6116248	up
ANO9	1.41E-09	1.7871666	up
DDX26B	2.30E-10	1.7221454	up
ENGASE	2.26E-08	1.7842629	up
CYP2C9	2.23E-15	4.1957417	up
LPIN3	1.46E-05	1.5547862	up
KRTAP13-2	1.41E-08	-17.270021	down
FSIP1	1.04E-07	-10.078125	down
LCN15	1.76E-23	-9.837854	down
UGT2B17	2.84E-05	-9.828032	down
TTR	2.85E-20	-8.807907	down
FAM151A	6.17E-39	-7.0652375	down
TNNC2	1.49E-24	-6.7885504	down
MT3	8.34E-14	-6.4787903	down
NPY	7.33E-07	-5.9154825	down
SST	9.98E-17	-5.7171297	down
PCSK1N	7.50E-22	-5.6883063	down
UGT1A10	1.80E-21	-5.656742	down
UGT1A1	2.36E-19	-5.508891	down
MT1H	1.75E-09	-5.288359	down
NEUROD1	6.55E-16	-5.003219	down
LAMA1	6.37E-15	-4.9770746	down
KIF5C	2.09E-24	-4.8540697	down
LYPD8	2.36E-09	-4.825381	down
SCGB2A1	1.24E-12	-4.7943134	down
CRYBA2	3.00E-16	-4.665415	down
CNBD2	1.94E-05	-4.6573896	down
AMACR	1.70E-32	-4.5202217	down
KLK15	1.51E-10	-4.4789166	down
SCGN	6.61E-21	-4.4425416	down
PIWIL2	6.57E-21	-4.404539	down
CFC1	8.70E-10	-4.3047566	down
ERICH5	3.83E-18	-4.3029575	down
KCNG1	2.59E-15	-4.117342	down
RASSF10	5.20E-10	-4.041975	down
GCG	1.11E-12	-4.038944	down
B3GNT7	4.77E-10	-3.9955623	down
FEV	2.91E-12	-3.9589503	down
TEX43	2.84E-06	-3.8904617	down
UGT2B15	1.51E-04	-3.8848622	down
HOXB13	1.29E-11	-3.8043342	down
RXFP4	1.78E-17	-3.7567413	down
C9orf24	2.33E-13	-3.7149384	down
SOWAHA	2.61E-16	-3.6868985	down
HLA-G	2.04E-04	-3.6643798	down
PSCA	2.08E-05	-3.618985	down
TEX11	4.55E-18	-3.528854	down
LGR6	6.18E-12	-3.4837847	down
HTN3	1.62E-10	-3.4037592	down
CHGA	2.12E-11	-3.3856852	down
SI	2.19E-10	-3.350617	down
BEX1	5.97E-15	-3.3216891	down
HIST1H2AI	1.39E-14	-3.3192897	down
KLK4	5.75E-12	-3.315795	down
C2orf54	8.96E-12	-3.290785	down
INSL5	3.64E-05	-3.2653682	down
PLLP	4.13E-14	-3.204383	down
BAMBI	1.05E-21	-3.1870162	down
GLDN	1.12E-05	-3.1702383	down
NEU4	1.69E-08	-3.1595109	down
TNNC1	1.22E-06	-3.1448069	down
NEURL1B	6.05E-20	-3.1431756	down
SYT13	2.37E-16	-3.1277618	down
RP11-77K12.7	1.67E-13	-3.120355	down
VAV3	6.17E-16	-3.0992546	down
TMEM253	1.11E-14	-3.0763578	down
PYY	6.60E-09	-3.0426438	down
RNASE1	2.87E-21	-3.0381594	down
NPY4R	1.77E-07	-3.036103	down
C8orf33	1.74E-34	-3.03271	down
OSR1	6.87E-06	-3.0288377	down
MYZAP	4.47E-22	-3.0010552	down
SCIN	9.59E-13	-2.95361	down
TEF	1.55E-16	-2.9471562	down
GNG13	7.23E-05	-2.9326353	down
RASD1	1.81E-15	-2.9268951	down
CHST5	2.33E-11	-2.907651	down
C11orf52	2.88E-17	-2.8684359	down
FAM47E-STBD1	1.66E-25	-2.8131716	down
SCG2	7.63E-13	-2.8042674	down
INSM1	1.37E-11	-2.7962482	down
NBPF1	5.88E-20	-2.7689717	down
CPB1	8.01E-05	-2.7577946	down
CNTNAP2	1.03E-13	-2.7538307	down
GPRIN2	1.19E-13	-2.7469313	down
ADPRHL1	1.00E-19	-2.7345092	down
SHD	2.33E-12	-2.7138941	down
RAB40B	3.05E-20	-2.7127101	down
PPP1R1B	9.82E-15	-2.703667	down
SGSM1	2.16E-10	-2.691736	down
BTNL3	1.28E-08	-2.687416	down
LTK	1.46E-17	-2.6863506	down
ASPG	2.78E-05	-2.677795	down
ESPN	2.82E-12	-2.6537404	down
PRAC1	9.04E-08	-2.6440969	down
GAL3ST2	7.02E-06	-2.6183515	down
UCN3	5.80E-09	-2.6067276	down
CTB-102L5.4	1.68E-07	-2.6053114	down
TMEM82	4.58E-10	-2.6026287	down
CHGB	1.93E-07	-2.5881848	down
TMEM200A	3.61E-11	-2.581659	down
PHGR1	4.62E-11	-2.5502968	down
PRAC2	1.06E-10	-2.5296707	down
OGN	1.56E-05	-2.5145404	down
FOXD2	5.35E-15	-2.5020642	down
CHST6	8.70E-11	-2.498781	down
MYBPC1	6.31E-06	-2.4515164	down
SYNC	1.31E-15	-2.4493947	down
WFDC2	1.85E-04	-2.4226089	down
NAGS	8.19E-15	-2.420068	down
WBSCR27	1.09E-05	-2.417275	down
NUPR1L	1.29E-06	-2.4166117	down
GAL3ST4	7.60E-17	-2.4161692	down
ADGRA3	2.09E-16	-2.4129572	down
REEP1	5.82E-15	-2.3797421	down
SPON1	1.50E-09	-2.3755472	down
CBLN2	1.02E-08	-2.3748507	down
NELL2	7.48E-09	-2.3522177	down
HPDL	6.22E-14	-2.3391352	down
ZNF575	4.42E-14	-2.3390799	down
C19orf33	1.53E-21	-2.3319478	down
STMND1	1.91E-07	-2.328023	down
GATA6	1.89E-13	-2.3253403	down
C1orf226	1.93E-10	-2.3239055	down
ABLIM2	2.53E-20	-2.3187315	down
HRK	4.26E-05	-2.3166318	down
HOXA13	4.04E-13	-2.3104243	down
PTPRN2	6.75E-12	-2.2974088	down
KLHL13	1.25E-17	-2.2930927	down
BCHE	1.89E-05	-2.2835808	down
MT-ND3	6.82E-20	-2.273075	down
NMNAT3	8.31E-17	-2.2713692	down
TMEM212	1.10E-12	-2.2593353	down
B3GALT5	1.13E-06	-2.2540636	down
SYBU	1.53E-13	-2.2537904	down
VANGL2	1.37E-10	-2.242008	down
C2orf72	4.01E-09	-2.2282965	down
SCG5	1.76E-17	-2.2158465	down
GFRA3	3.76E-10	-2.2151303	down
EPN3	9.13E-08	-2.212384	down
HIST1H3H	7.19E-12	-2.2045214	down
LMNTD1	4.99E-10	-2.2044933	down
FCER1A	6.74E-07	-2.190036	down
TMEM38A	9.10E-16	-2.1864688	down
RAB3B	2.89E-11	-2.1845114	down
MINOS1-NBL1	9.67E-04	-2.182315	down
CDX1	5.71E-14	-2.170694	down
PTPRN	1.82E-07	-2.1693628	down
GOLT1A	9.54E-09	-2.160896	down
ZNRF3	2.09E-13	-2.1602547	down
KBTBD11	1.93E-13	-2.1566792	down
AVPI1	5.30E-15	-2.1548913	down
RHBDL2	2.04E-12	-2.153326	down
EIF4EBP3	2.56E-14	-2.152076	down
GNG4	5.63E-11	-2.1471179	down
GP2	8.54E-05	-2.142872	down
PAPPA2	3.86E-04	-2.1315155	down
DEGS2	2.51E-12	-2.1303916	down
NOV	1.37E-09	-2.1291249	down
MNX1	1.23E-06	-2.119144	down
SHROOM2	5.08E-11	-2.1085937	down
FAM134B	7.25E-08	-2.1082792	down
MT-CO3	2.22E-15	-2.1031787	down
SMIM6	1.01E-12	-2.0976255	down
RIPK4	1.16E-14	-2.0945396	down
TPSG1	1.65E-05	-2.0810359	down
KCNIP4	3.52E-09	-2.0775867	down
MT-CO1	3.59E-16	-2.0736866	down
SCTR	4.54E-04	-2.0724478	down
ALDH1A1	1.28E-16	-2.0704334	down
SYT7	1.98E-07	-2.0689094	down
CNFN	4.05E-09	-2.0666876	down
ALDH3A1	5.03E-09	-2.0621073	down
FAM110C	2.31E-09	-2.0617402	down
KLK3	6.89E-04	-2.0500824	down
TMEM246	3.35E-13	-2.049911	down
BCO1	5.27E-10	-2.0487835	down
SGK1	6.43E-07	-2.0457418	down
RBBP8NL	3.31E-07	-2.0386388	down
DDAH1	1.05E-12	-2.0344596	down
FAM171A1	3.42E-13	-2.0337498	down
AKR1C2	1.24E-06	-2.0307062	down
ITM2C	1.85E-11	-2.029467	down
AMN	1.45E-08	-2.0267308	down
SPINK2	7.71E-07	-2.0263984	down
FAM3D	4.18E-08	-2.0247078	down
NOS1AP	8.13E-06	-2.012534	down
TMEM30B	9.59E-11	-2.010998	down
KIAA1211L	3.53E-11	-2.009342	down
WASF3	2.40E-11	-2.0061545	down
PID1	1.88E-09	-2.0056016	down
COX4I1	1.59E-21	-2.000723	down
SLC6A12	3.10E-08	-1.9952537	down
TNFAIP8L3	2.47E-10	-1.9951817	down
ST6GALNAC6	1.28E-08	-1.9889048	down
SLC29A4	3.96E-09	-1.9884223	down
TMEM164	2.33E-12	-1.9869235	down
PDXP	2.96E-16	-1.980194	down
CELF3	1.50E-05	-1.9748057	down
UCK2	1.55E-21	-1.9727292	down
PLEKHB2	6.48E-16	-1.9674842	down
TSPAN3	6.97E-19	-1.9651452	down
FRZB	2.84E-11	-1.9649941	down
KIF26A	7.09E-09	-1.9647971	down
CACFD1	5.60E-14	-1.9646314	down
AQP12A	4.54E-04	-1.9568567	down
C9orf40	6.33E-17	-1.9557096	down
AGXT	7.03E-04	-1.9544418	down
MT-CYB	2.68E-15	-1.9509752	down
CNTN1	3.19E-05	-1.9432119	down
BCAN	3.95E-10	-1.941648	down
C8G	6.61E-06	-1.9405866	down
SORL1	3.67E-09	-1.9405198	down
PRSS36	1.25E-09	-1.9385641	down
FZD8	4.26E-10	-1.9384534	down
ENTPD2	3.89E-10	-1.9303504	down
RBP4	2.08E-07	-1.9303168	down
DAB2IP	1.06E-10	-1.9268054	down
MARCKS	2.47E-16	-1.926594	down
SLC39A14	2.59E-11	-1.9189872	down
PRADC1	8.34E-22	-1.9169418	down
ALKBH7	7.97E-20	-1.9167198	down
HES2	1.25E-05	-1.9148518	down
REEP6	1.88E-13	-1.9141041	down
MUC20	4.69E-06	-1.9114776	down
C11orf86	9.33E-07	-1.9108967	down
THSD4	2.50E-07	-1.9094125	down
CRIP1	4.02E-11	-1.9092262	down
SMIM22	8.30E-11	-1.9088774	down
SLC7A4	9.49E-06	-1.907582	down
RPS18	2.86E-24	-1.9072962	down
TXNIP	5.85E-13	-1.9060085	down
SNX7	1.59E-17	-1.9023738	down
CD164	1.27E-16	-1.9011424	down
MGST3	9.34E-16	-1.8958628	down
SUGCT	1.06E-09	-1.895345	down
ZFYVE9	1.15E-11	-1.8945515	down
COX5A	1.34E-17	-1.8944135	down
OTUD7B	3.03E-10	-1.8935713	down
CLDN4	7.77E-10	-1.8925797	down
UBXN10	3.29E-09	-1.8916976	down
RELL1	8.05E-09	-1.8900293	down
WNT11	2.72E-05	-1.8884544	down
GOLM1	4.21E-08	-1.8883915	down
RRAS2	9.97E-22	-1.8739759	down
CHODL	3.56E-05	-1.8738899	down
LRRC26	7.10E-05	-1.8674206	down
CCDC152	7.00E-07	-1.8660796	down
CLDN3	1.92E-10	-1.8655897	down
CACNA2D2	3.70E-05	-1.8655083	down
CFDP1	1.39E-19	-1.8654855	down
PRSS3	3.61E-12	-1.8654766	down
MT-ND4	2.73E-12	-1.8644788	down
MT-ATP8	3.19E-09	-1.8613342	down
LEFTY1	1.74E-04	-1.859229	down
ATP5F1	2.42E-19	-1.8585199	down
SPINT2	1.83E-14	-1.8583378	down
GIPC1	3.72E-11	-1.8579524	down
MOB3B	2.42E-11	-1.8547726	down
TSTD1	1.55E-18	-1.8542626	down
SERF1B	9.81E-18	-1.8535558	down
TTLL6	5.36E-04	-1.8529282	down
MLF1	1.74E-11	-1.8494365	down
KDF1	9.30E-14	-1.8483837	down
LFNG	4.27E-14	-1.8480617	down
NT5E	1.67E-09	-1.846706	down
FDX1	3.69E-24	-1.8452272	down
SPATA2	9.09E-15	-1.8422062	down
NDUFA10	4.09E-17	-1.8419046	down
TMEM231	1.18E-10	-1.8406328	down
CDH1	4.82E-07	-1.8403128	down
ZNF703	1.63E-11	-1.8400884	down
DPF3	5.37E-07	-1.8396581	down
MT-ND4L	4.91E-07	-1.8391191	down
MACROD1	1.38E-10	-1.8378758	down
TSPAN12	2.01E-10	-1.8370718	down
PYGB	1.07E-09	-1.8368846	down
CISD3	1.59E-14	-1.8366592	down
ATP5G3	3.25E-15	-1.8340409	down
COX6A1	3.21E-17	-1.8334783	down
PRRG2	2.13E-12	-1.8330928	down
RPL36A	1.53E-21	-1.8315952	down
CST3	4.09E-18	-1.8310715	down
AC090498.1	7.51E-06	-1.830338	down
PPARGC1B	2.17E-06	-1.8293242	down
RORC	1.45E-08	-1.8273745	down
PARD3B	1.21E-09	-1.8259983	down
MKRN2OS	5.46E-11	-1.8247237	down
MLLT3	8.90E-10	-1.8236754	down
LPAR5	1.76E-15	-1.8211832	down
RPS29	3.00E-19	-1.8207684	down
LSR	4.28E-12	-1.8206499	down
GAREML	2.44E-06	-1.8184618	down
PIGN	7.24E-10	-1.8164191	down
MKRN1	5.02E-14	-1.8121406	down
RPS3A	1.67E-20	-1.8113396	down
HOXD1	7.47E-08	-1.8107355	down
HIST1H2AE	3.22E-09	-1.8019036	down
MT-CO2	5.14E-13	-1.8000666	down
DDO	3.41E-04	-1.7988988	down
SLC2A10	3.72E-10	-1.7986176	down
ATP5O	1.29E-19	-1.7955692	down
RXRA	1.08E-12	-1.7954915	down
HPCA	3.44E-06	-1.7952799	down
SPRED2	3.22E-12	-1.7950519	down
STK39	4.72E-15	-1.7946752	down
FITM2	7.12E-11	-1.7934314	down
GPRC5C	1.70E-09	-1.791821	down
HOXB7	1.48E-15	-1.7916561	down
PPP1CB	4.86E-14	-1.790546	down
DNAJC22	1.95E-07	-1.7895888	down
ETFB	1.01E-17	-1.7878809	down
NDUFA1	1.98E-17	-1.7876529	down
DMTN	1.07E-12	-1.7871146	down
ATP7B	1.56E-06	-1.7870779	down
MESP1	1.29E-04	-1.7869561	down
PRKAR2A	2.51E-10	-1.7854621	down
ASAP2	2.18E-06	-1.7845823	down
DSC2	8.08E-08	-1.7842221	down
EFNA3	1.20E-06	-1.7832302	down
ADCK2	2.88E-17	-1.7830858	down
SCT	6.59E-05	-1.782739	down
ACY1	1.63E-14	-1.7814566	down
ZNF219	6.91E-12	-1.7810209	down
B3GNT3	5.26E-08	-1.7782316	down
CHMP4C	2.20E-09	-1.7770969	down
HNF1A	2.47E-08	-1.7766812	down
FAM161B	8.94E-10	-1.7762867	down
BTBD9	6.96E-09	-1.7735301	down
SPAG16	4.03E-13	-1.7732058	down
ATP1A1	6.58E-07	-1.7724911	down
BLCAP	4.06E-16	-1.771835	down
GMCL1	2.68E-13	-1.7717837	down
ZNF649	7.08E-13	-1.7709447	down
TRAPPC6A	7.27E-13	-1.7708719	down
CPTP	6.12E-20	-1.7702935	down
TNFRSF11A	1.04E-07	-1.7701612	down
RNLS	1.48E-14	-1.7700838	down
PHLPP1	2.61E-08	-1.7698345	down
PNKD	1.69E-21	-1.7696191	down
EML5	1.70E-11	-1.7679994	down
SDC4	4.80E-12	-1.7679617	down
PLCL2	3.82E-15	-1.766345	down
ATP5G1	7.54E-13	-1.7650062	down
RP5-864K19.6	3.82E-04	-1.7646612	down
ECI1	2.17E-18	-1.7626151	down
CASK	7.30E-12	-1.762589	down
PEX7	2.07E-14	-1.7622879	down
CIB2	8.17E-13	-1.7606083	down
HHAT	1.65E-11	-1.7597263	down
ZMYND12	2.15E-07	-1.7593123	down
FAM177A1	2.95E-21	-1.757751	down
GOLPH3L	2.98E-12	-1.7576102	down
NR2F6	5.71E-12	-1.7568347	down
SH3RF1	7.08E-09	-1.7568085	down
FRAT2	4.81E-15	-1.7530655	down
SNX15	7.25E-21	-1.7521857	down
SLC25A5	1.71E-13	-1.7503248	down
C1orf53	1.12E-08	-1.7496076	down
DGCR2	1.06E-12	-1.7491757	down
ANGPTL1	2.61E-04	-1.7478968	down
CANT1	1.17E-08	-1.7478399	down
QPRT	6.17E-10	-1.7474892	down
NTN4	3.36E-07	-1.7468122	down
SPOCK1	3.69E-05	-1.746613	down
CCDC115	2.37E-19	-1.7465392	down
IL2RG	7.10E-14	-1.7462544	down
MAGIX	7.59E-07	-1.744969	down
FAM234A	5.32E-16	-1.7441665	down
TXN	3.76E-14	-1.743902	down
APOBEC3C	4.06E-14	-1.7405195	down
CCDC47	5.43E-11	-1.7400908	down
CCL15	1.62E-06	-1.7387205	down
AUTS2	7.43E-07	-1.737035	down
PWWP2B	9.31E-11	-1.7362852	down
TCN2	8.33E-13	-1.7357284	down
IL17D	8.85E-09	-1.7348443	down
NHLRC1	3.37E-08	-1.7346189	down
PRDX5	1.33E-12	-1.734419	down
DDT	7.95E-14	-1.7338903	down
SGPP2	5.68E-07	-1.7322698	down
IL20RA	4.64E-07	-1.7322421	down
FAM109A	4.45E-14	-1.7307371	down
ABRACL	1.92E-21	-1.7303698	down
SSPN	4.20E-10	-1.7295967	down
COA3	1.60E-14	-1.7276963	down
CCSER1	4.32E-07	-1.7274361	down
MTURN	2.37E-12	-1.7257872	down
KIAA1522	9.79E-08	-1.7248852	down
MMP15	1.39E-07	-1.722729	down
RPS23	1.57E-21	-1.7216192	down
BTG3	1.89E-17	-1.720572	down
PRR26	1.10E-06	-1.7199664	down
ABHD17C	2.66E-09	-1.7198871	down
CRB3	5.73E-11	-1.7188199	down
SORBS3	2.42E-10	-1.7180431	down
LGALS3	2.60E-11	-1.7175131	down
MRPS33	1.38E-17	-1.7172265	down
PARS2	3.19E-12	-1.716484	down
ACOT4	2.18E-09	-1.7164061	down
DEPDC4	2.47E-06	-1.7149452	down
THAP4	7.42E-16	-1.7147899	down
RAB19	2.49E-06	-1.7146434	down
ZBTB7B	3.96E-08	-1.7138028	down
CHMP3	1.71E-17	-1.7136953	down
DHX32	2.26E-09	-1.7127439	down
AGR3	1.15E-07	-1.7117165	down
MAL2	2.25E-08	-1.7110331	down
ATP5B	3.75E-13	-1.7104384	down
NDUFB7	6.88E-17	-1.709921	down
AIM1L	3.96E-06	-1.7099051	down
SUMF1	1.09E-13	-1.7082077	down
RP5-862P8.2	5.72E-07	-1.7073107	down
RNF208	1.31E-10	-1.706684	down
SLC35A1	3.35E-13	-1.706061	down
UQCR10	2.63E-14	-1.705624	down
RPL34	5.64E-18	-1.7051203	down
NANS	1.12E-08	-1.7032598	down
PLEKHG3	2.29E-09	-1.7012743	down
LSM11	3.21E-11	-1.7011813	down
RPS26	1.73E-07	-1.7011683	down
SCEL	8.49E-04	-1.700423	down
NDFIP2	9.62E-10	-1.7003859	down
DCTPP1	6.29E-11	-1.6961709	down
ZNF395	4.28E-10	-1.6954858	down
CLCN3	3.05E-07	-1.695303	down
DOK4	2.07E-10	-1.694879	down
NCEH1	1.59E-10	-1.6946849	down
MT-ATP6	1.09E-10	-1.6937137	down
CHMP4B	7.62E-20	-1.6931511	down
UQCRFS1	3.97E-13	-1.6929684	down
STEAP3	2.46E-06	-1.6911807	down
KIAA2013	8.83E-19	-1.6911322	down
UQCRQ	3.58E-14	-1.6908579	down
CHMP5	1.01E-21	-1.6902249	down
CSRP2BP	2.81E-15	-1.6902146	down
LCLAT1	7.65E-10	-1.6899374	down
